neighborhood,2006,2007,2008,2009,2010
Blmngtn,11.0,4.0,5.0,6.0,2.0
Blueste,,2.0,2.0,4.0,2.0
BrDale,9.0,5.0,7.0,6.0,3.0
BrkSide,19.0,24.0,31.0,23.0,11.0
ClearCr,10.0,9.0,11.0,6.0,8.0
CollgCr,60.0,65.0,58.0,63.0,21.0
Crawfor,20.0,34.0,21.0,21.0,7.0
Edwards,43.0,41.0,45.0,42.0,23.0
Gilbert,38.0,45.0,26.0,41.0,15.0
Greens,4.0,1.0,,1.0,2.0
GrnHill,1.0,1.0,,,
IDOTRR,20.0,25.0,26.0,13.0,9.0
Landmrk,1.0,,,,
MeadowV,10.0,8.0,7.0,5.0,7.0
Mitchel,23.0,28.0,22.0,24.0,17.0
NAmes,99.0,105.0,86.0,95.0,58.0
NPkVill,3.0,3.0,3.0,10.0,4.0
NWAmes,25.0,30.0,30.0,35.0,11.0
NoRidge,17.0,17.0,14.0,13.0,10.0
NridgHt,32.0,43.0,31.0,45.0,15.0
OldTown,51.0,48.0,56.0,55.0,29.0
SWISU,12.0,5.0,10.0,10.0,11.0
Sawyer,38.0,37.0,30.0,23.0,23.0
SawyerW,20.0,21.0,25.0,41.0,18.0
Somerst,29.0,51.0,41.0,40.0,21.0
StoneBr,15.0,12.0,10.0,8.0,6.0
Timber,11.0,21.0,18.0,14.0,8.0
Veenker,4.0,9.0,7.0,4.0,
