neighborhood,year_sold,bedrooms,homes_sold
Blmngtn,2006,1,1
Blmngtn,2006,2,10
Blmngtn,2007,2,4
Blmngtn,2008,2,5
Blmngtn,2009,1,2
Blmngtn,2009,2,4
Blmngtn,2010,2,2
Blueste,2007,1,1
Blueste,2007,2,1
Blueste,2008,2,1
Blueste,2008,3,1
Blueste,2009,2,4
Blueste,2010,1,1
Blueste,2010,2,1
BrDale,2006,2,3
BrDale,2006,3,6
BrDale,2007,2,1
BrDale,2007,3,3
BrDale,2007,4,1
BrDale,2008,2,6
BrDale,2008,3,1
BrDale,2009,2,3
BrDale,2009,3,3
BrDale,2010,2,1
BrDale,2010,3,2
BrkSide,2006,1,1
BrkSide,2006,2,7
BrkSide,2006,3,11
BrkSide,2007,1,2
BrkSide,2007,2,7
BrkSide,2007,3,12
BrkSide,2007,4,3
BrkSide,2008,1,2
BrkSide,2008,2,13
BrkSide,2008,3,12
BrkSide,2008,4,4
BrkSide,2009,1,1
BrkSide,2009,2,8
BrkSide,2009,3,12
BrkSide,2009,4,1
BrkSide,2009,5,1
BrkSide,2010,2,4
BrkSide,2010,3,6
BrkSide,2010,4,1
ClearCr,2006,1,2
ClearCr,2006,2,4
ClearCr,2006,3,3
ClearCr,2006,4,1
ClearCr,2007,0,1
ClearCr,2007,2,1
ClearCr,2007,3,3
ClearCr,2007,4,3
ClearCr,2007,5,1
ClearCr,2008,1,1
ClearCr,2008,2,4
ClearCr,2008,3,2
ClearCr,2008,4,3
ClearCr,2008,5,1
ClearCr,2009,1,1
ClearCr,2009,2,1
ClearCr,2009,3,2
ClearCr,2009,4,1
ClearCr,2009,5,1
ClearCr,2010,0,1
ClearCr,2010,1,1
ClearCr,2010,3,4
ClearCr,2010,4,2
CollgCr,2006,1,3
CollgCr,2006,2,6
CollgCr,2006,3,47
CollgCr,2006,4,4
CollgCr,2007,1,2
CollgCr,2007,2,4
CollgCr,2007,3,54
CollgCr,2007,4,5
CollgCr,2008,1,6
CollgCr,2008,2,3
CollgCr,2008,3,46
CollgCr,2008,4,3
CollgCr,2009,1,3
CollgCr,2009,2,10
CollgCr,2009,3,49
CollgCr,2009,4,1
CollgCr,2010,1,2
CollgCr,2010,2,3
CollgCr,2010,3,15
CollgCr,2010,4,1
Crawfor,2006,2,6
Crawfor,2006,3,8
Crawfor,2006,4,6
Crawfor,2007,2,9
Crawfor,2007,3,16
Crawfor,2007,4,9
Crawfor,2008,2,6
Crawfor,2008,3,10
Crawfor,2008,4,5
Crawfor,2009,2,6
Crawfor,2009,3,14
Crawfor,2009,5,1
Crawfor,2010,1,1
Crawfor,2010,2,1
Crawfor,2010,3,2
Crawfor,2010,4,2
Crawfor,2010,5,1
Edwards,2006,1,1
Edwards,2006,2,9
Edwards,2006,3,22
Edwards,2006,4,8
Edwards,2006,5,3
Edwards,2007,2,16
Edwards,2007,3,18
Edwards,2007,4,6
Edwards,2007,5,1
Edwards,2008,2,16
Edwards,2008,3,20
Edwards,2008,4,8
Edwards,2008,5,1
Edwards,2009,1,2
Edwards,2009,2,13
Edwards,2009,3,21
Edwards,2009,4,5
Edwards,2009,6,1
Edwards,2010,1,1
Edwards,2010,2,7
Edwards,2010,3,12
Edwards,2010,4,3
Gilbert,2006,2,1
