genotype,method,gradient width
wt,wholemounts,0.1288
wt,wholemounts,0.1554
wt,wholemounts,0.1306
wt,wholemounts,0.1413
wt,wholemounts,0.1557
wt,wholemounts,0.1689
wt,wholemounts,0.1417
wt,wholemounts,0.1315
wt,wholemounts,0.1664
wt,wholemounts,0.156
wt,wholemounts,0.1479
wt,wholemounts,0.1475
wt,wholemounts,0.1347
wt,wholemounts,0.1129
wt,wholemounts,0.125
wt,wholemounts,0.1648
wt,wholemounts,0.1555
wt,wholemounts,0.1403
wt,wholemounts,0.1096
wt,wholemounts,0.1779
wt,wholemounts,0.1244
wt,wholemounts,0.1708
wt,wholemounts,0.1691
wt,wholemounts,0.13
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,wholemounts,
wt,cross-sections,0.1327
wt,cross-sections,0.1457
wt,cross-sections,0.1447
wt,cross-sections,0.1282
wt,cross-sections,0.1487
wt,cross-sections,0.1203
wt,cross-sections,0.1315
wt,cross-sections,0.1463
wt,cross-sections,0.1458
wt,cross-sections,0.1402
wt,cross-sections,0.133
wt,cross-sections,0.1375
wt,cross-sections,0.1576
wt,cross-sections,0.1498
wt,cross-sections,0.1532
wt,cross-sections,0.1352
wt,cross-sections,0.1346
wt,cross-sections,0.1364
wt,cross-sections,0.143
wt,cross-sections,0.144
wt,cross-sections,0.1805
wt,cross-sections,0.1688
wt,cross-sections,0.1532
wt,cross-sections,0.1681
wt,cross-sections,0.1442
wt,cross-sections,0.1362
wt,cross-sections,0.1391
wt,cross-sections,0.1606
wt,cross-sections,0.1742
wt,cross-sections,0.1335
wt,cross-sections,0.1347
wt,cross-sections,0.1404
wt,cross-sections,0.1524
wt,cross-sections,0.1469
wt,cross-sections,0.1365
wt,cross-sections,0.1433
wt,cross-sections,0.1358
wt,cross-sections,0.1643
wt,cross-sections,0.1371
wt,cross-sections,0.1141
wt,cross-sections,0.1436
wt,cross-sections,0.1223
wt,cross-sections,0.1459
wt,cross-sections,0.1368
wt,cross-sections,0.1376
wt,cross-sections,0.1601
wt,cross-sections,0.1309
wt,cross-sections,0.1305
wt,cross-sections,0.1562
wt,cross-sections,0.1577
wt,cross-sections,0.154
wt,cross-sections,0.1443
wt,cross-sections,0.1364
wt,cross-sections,0.1344
wt,cross-sections,0.1315
wt,cross-sections,0.1572
wt,cross-sections,0.1441
wt,cross-sections,0.1399
wt,cross-sections,0.1497
wt,cross-sections,0.1647
wt,cross-sections,0.1629
wt,cross-sections,0.1194
wt,cross-sections,0.1296
wt,cross-sections,0.1574
wt,cross-sections,0.1365
wt,cross-sections,0.1759
wt,cross-sections,0.1522
wt,cross-sections,0.1535
wt,cross-sections,0.1398
wt,cross-sections,0.1453
wt,cross-sections,0.1569
wt,cross-sections,0.1582
wt,cross-sections,0.174
wt,cross-sections,0.1781
wt,cross-sections,0.1488
wt,cross-sections,0.1663
wt,cross-sections,0.1699
wt,cross-sections,0.173
wt,cross-sections,0.1655
wt,cross-sections,0.1341
wt,cross-sections,0.1014
wt,cross-sections,0.162
wt,cross-sections,0.1704
wt,cross-sections,0.1499
wt,cross-sections,0.1648
wt,cross-sections,0.1397
wt,cross-sections,0.1745
wt,cross-sections,0.1684
wt,cross-sections,0.1399
wt,cross-sections,0.1512
wt,cross-sections,0.1793
wt,cross-sections,0.1581
wt,cross-sections,0.1515
wt,cross-sections,0.1465
wt,cross-sections,0.162
wt,cross-sections,0.1581
wt,cross-sections,0.1559
wt,cross-sections,0.147
wt,cross-sections,0.1445
wt,cross-sections,0.1673
wt,cross-sections,0.1703
wt,cross-sections,0.154
wt,cross-sections,0.16
wt,cross-sections,0.1147
wt,cross-sections,0.1317
wt,cross-sections,0.1685
wt,cross-sections,0.1415
wt,cross-sections,0.1575
wt,cross-sections,0.1524
wt,cross-sections,0.1374
wt,cross-sections,0.1596
wt,cross-sections,0.1159
wt,cross-sections,0.1104
wt,cross-sections,0.1368
wt,cross-sections,0.1621
wt,cross-sections,0.1117
wt,cross-sections,0.1563
wt,cross-sections,0.158
wt,cross-sections,0.146
wt,cross-sections,0.1174
wt,cross-sections,0.155
wt,cross-sections,0.1327
wt,cross-sections,0.1443
wt,cross-sections,0.1329
wt,cross-sections,0.1567
wt,cross-sections,0.1388
wt,cross-sections,0.1449
wt,cross-sections,0.1548
wt,cross-sections,0.1727
wt,cross-sections,0.142
wt,cross-sections,0.1735
wt,cross-sections,0.1641
wt,cross-sections,0.1756
wt,cross-sections,0.1691
wt,cross-sections,0.1599
wt,cross-sections,0.1271
wt,cross-sections,0.1468
wt,cross-sections,0.149
wt,cross-sections,0.1706
wt,cross-sections,0.1283
wt,cross-sections,0.1325
wt,cross-sections,0.1663
wt,cross-sections,0.1325
wt,cross-sections,0.1529
wt,cross-sections,0.1682
wt,cross-sections,0.1557
wt,cross-sections,0.1577
wt,cross-sections,0.1466
wt,cross-sections,0.1671
wt,cross-sections,0.1265
wt,cross-sections,0.1448
wt,cross-sections,0.174
dl1/+; dl-venus/+,anti-Dorsal,0.1482
dl1/+; dl-venus/+,anti-Dorsal,0.1503
dl1/+; dl-venus/+,anti-Dorsal,0.1577
dl1/+; dl-venus/+,anti-Dorsal,0.1711
dl1/+; dl-venus/+,anti-Dorsal,0.1342
dl1/+; dl-venus/+,anti-Dorsal,0.1773
dl1/+; dl-venus/+,anti-Dorsal,0.1705
dl1/+; dl-venus/+,anti-Dorsal,0.1596
dl1/+; dl-venus/+,anti-Dorsal,0.1601
dl1/+; dl-venus/+,anti-Dorsal,0.1553
dl1/+; dl-venus/+,anti-Dorsal,0.1675
dl1/+; dl-venus/+,anti-Dorsal,0.1692
dl1/+; dl-venus/+,anti-Dorsal,0.1584
dl1/+; dl-venus/+,anti-Dorsal,0.1546
dl1/+; dl-venus/+,anti-Dorsal,0.1605
dl1/+; dl-venus/+,anti-Dorsal,0.1754
dl1/+; dl-venus/+,anti-Dorsal,0.161
dl1/+; dl-venus/+,anti-Dorsal,0.1491
dl1/+; dl-venus/+,anti-Dorsal,0.1442
dl1/+; dl-venus/+,anti-Dorsal,0.1728
dl1/+; dl-venus/+,anti-Dorsal,0.1534
dl1/+; dl-venus/+,anti-Dorsal,0.1576
dl1/+; dl-venus/+,anti-Dorsal,0.1701
dl1/+; dl-venus/+,anti-Dorsal,0.1436
dl1/+; dl-venus/+,anti-Dorsal,0.1746
dl1/+; dl-venus/+,anti-Dorsal,0.1698
dl1/+; dl-venus/+,anti-Dorsal,0.171
dl1/+; dl-venus/+,anti-Dorsal,0.1555
dl1/+; dl-venus/+,anti-Dorsal,0.1616
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Dorsal,
dl1/+; dl-venus/+,anti-Venus,0.1632
dl1/+; dl-venus/+,anti-Venus,0.1671
dl1/+; dl-venus/+,anti-Venus,0.1704
dl1/+; dl-venus/+,anti-Venus,0.1779
dl1/+; dl-venus/+,anti-Venus,0.1483
dl1/+; dl-venus/+,anti-Venus,0.1831
dl1/+; dl-venus/+,anti-Venus,0.1783
dl1/+; dl-venus/+,anti-Venus,0.1667
dl1/+; dl-venus/+,anti-Venus,0.178
dl1/+; dl-venus/+,anti-Venus,0.1653
dl1/+; dl-venus/+,anti-Venus,0.1708
dl1/+; dl-venus/+,anti-Venus,0.178
dl1/+; dl-venus/+,anti-Venus,0.174
dl1/+; dl-venus/+,anti-Venus,0.1739
dl1/+; dl-venus/+,anti-Venus,0.1812
dl1/+; dl-venus/+,anti-Venus,0.1902
dl1/+; dl-venus/+,anti-Venus,0.178
dl1/+; dl-venus/+,anti-Venus,0.1624
dl1/+; dl-venus/+,anti-Venus,0.1553
dl1/+; dl-venus/+,anti-Venus,0.1768
dl1/+; dl-venus/+,anti-Venus,0.1701
dl1/+; dl-venus/+,anti-Venus,0.1724
dl1/+; dl-venus/+,anti-Venus,0.1738
dl1/+; dl-venus/+,anti-Venus,0.1703
dl1/+; dl-venus/+,anti-Venus,0.1842
dl1/+; dl-venus/+,anti-Venus,0.172
dl1/+; dl-venus/+,anti-Venus,0.1807
dl1/+; dl-venus/+,anti-Venus,0.1796
dl1/+; dl-venus/+,anti-Venus,0.1759
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
dl1/+; dl-venus/+,anti-Venus,
